export interface WebTrendKeyword {
  id: string;
  section: string;
  rank: number;
  keyword: string;
  interest: number;
  change: string;
}

export const webTrendKeywords: WebTrendKeyword[] = [
  { id: '1', section: '여행', rank: 1, keyword: '바이크 여행 갤', interest: 98, change: 'Breakout' },
  { id: '25', section: '여행', rank: 25, keyword: '다카마쓰 여행', interest: 50, change: '60%' },
  { id: '26', section: '여행', rank: 26, keyword: '단양 여행', interest: 48, change: '60%' },
  { id: '27', section: '여행', rank: 27, keyword: '여행 과 지도', interest: 46, change: '60%' },
  { id: '28', section: '여행', rank: 28, keyword: '경주 여행', interest: 44, change: '50%' },
  { id: '29', section: '여행', rank: 29, keyword: '강화도 여행', interest: 42, change: '50%' },
  { id: '30', section: '여행', rank: 30, keyword: '여행 체크 리스트', interest: 40, change: '50%' },
  { id: '31', section: '여행', rank: 31, keyword: '일본 여행 체크 리스트', interest: 38, change: '50%' },
  { id: '32', section: '여행', rank: 32, keyword: '호주 여행', interest: 36, change: '50%' },
  { id: '33', section: '여행', rank: 33, keyword: '조지아 여행', interest: 34, change: '40%' },
  { id: '34', section: '여행', rank: 34, keyword: '이탈리아', interest: 32, change: '40%' },
  { id: '35', section: '여행', rank: 35, keyword: '여행 을 떠나요', interest: 30, change: '40%' },
  { id: '36', section: '여행', rank: 36, keyword: '일본 여행 패키지', interest: 28, change: '40%' },
  { id: '37', section: '여행', rank: 37, keyword: '강원도 여행', interest: 26, change: '40%' },
  { id: '38', section: '여행', rank: 38, keyword: '칭다오 여행', interest: 24, change: '30%' },
  { id: '39', section: '여행', rank: 39, keyword: '판타지 를 여행 하는 현대인 을 위한 안내서', interest: 22, change: '30%' },
  { id: '40', section: '여행', rank: 40, keyword: '은하수 를 여행 하는 히치하이커 를 위한 안내서', interest: 20, change: '30%' },
  { id: '41', section: '여행', rank: 41, keyword: '여행 톡톡', interest: 18, change: '30%' },
  { id: '42', section: '여행', rank: 42, keyword: '국내 여행', interest: 16, change: '30%' },
  { id: '43', section: '여행', rank: 43, keyword: '이환 착한 강아지 의 여행', interest: 14, change: '30%' },
  { id: '44', section: '여행', rank: 44, keyword: '중국 여행', interest: 12, change: '30%' },
  { id: '45', section: '여행', rank: 45, keyword: '유럽 여행', interest: 10, change: '30%' },
  { id: '46', section: '여행', rank: 46, keyword: '장가계 여행', interest: 10, change: '30%' },
  { id: '47', section: '여행', rank: 47, keyword: '여행 가사', interest: 10, change: '30%' },
  { id: '48', section: '여행', rank: 48, keyword: '하나 투어', interest: 10, change: '20%' },
  { id: '49', section: '여행', rank: 49, keyword: '대만 여행', interest: 10, change: '20%' },
  { id: '50', section: '여행', rank: 50, keyword: '도쿄 여행', interest: 10, change: '20%' },
  { id: '51', section: '관광', rank: 1, keyword: '경희대 호텔 관광 대학', interest: 98, change: 'Breakout' },
  { id: '52', section: '관광', rank: 2, keyword: '마 관광 살포', interest: 96, change: 'Breakout' },
  { id: '53', section: '관광', rank: 3, keyword: '코레 일 관광 개발 채용', interest: 94, change: 'Breakout' },
  { id: '54', section: '관광', rank: 4, keyword: '충남 문화 관광 재단', interest: 92, change: 'Breakout' },
  { id: '55', section: '관광', rank: 5, keyword: '코레 일 관광 개발', interest: 90, change: '350%' },
  { id: '56', section: '관광', rank: 6, keyword: '전북 문화 관광 재단', interest: 88, change: '350%' },
  { id: '57', section: '관광', rank: 7, keyword: '스파 관광 파트 4', interest: 86, change: '200%' },
  { id: '58', section: '관광', rank: 8, keyword: '국민 관광 상품권', interest: 84, change: '110%' },
  { id: '59', section: '관광', rank: 9, keyword: '롯데 관광 개발 주가', interest: 82, change: '90%' },
  { id: '60', section: '관광', rank: 10, keyword: '한국 콘텐츠 진흥원', interest: 80, change: '70%' },
  { id: '61', section: '관광', rank: 11, keyword: '관광 데이터 랩', interest: 78, change: '50%' },
  { id: '62', section: '관광', rank: 12, keyword: '관광 인', interest: 76, change: '40%' },
  { id: '63', section: '관광', rank: 13, keyword: '한국 관광 데이터 랩', interest: 74, change: '40%' },
  { id: '64', section: '관광', rank: 14, keyword: '서울 관광 재단', interest: 72, change: '30%' },
  { id: '65', section: '관광', rank: 15, keyword: '관광 통역 안내 사', interest: 70, change: '30%' },
  { id: '66', section: '관광', rank: 16, keyword: '도쿄 관광', interest: 68, change: '20%' },
  { id: '67', section: '관광', rank: 17, keyword: '부산 관광', interest: 66, change: '6%' },
  { id: '68', section: '관광', rank: 18, keyword: '관광 데이터 활용 공모전', interest: 64, change: '4%' },
  { id: '69', section: '관광', rank: 19, keyword: '한국 관광 대학교', interest: 62, change: '1%' },
  { id: '70', section: '관광', rank: 20, keyword: '제주 관광', interest: 60, change: '0%' },
  { id: '71', section: '관광', rank: 21, keyword: '새부산 관광', interest: 58, change: '-2%' },
  { id: '72', section: '관광', rank: 22, keyword: '관광 통역 안내 사 자격증', interest: 56, change: '-3%' },
  { id: '73', section: '관광', rank: 23, keyword: '롯데 관광', interest: 54, change: '-7%' },
  { id: '74', section: '관광', rank: 24, keyword: '제주 관광 공사', interest: 52, change: '-8%' },
  { id: '75', section: '관광', rank: 25, keyword: '묻지마 관광', interest: 50, change: '-10%' },
  { id: '76', section: '관광', rank: 26, keyword: '한국 관광 고등학교', interest: 48, change: '-10%' },
  { id: '77', section: '관광', rank: 27, keyword: '한국 문화 관광 연구원', interest: 46, change: '-10%' },
  { id: '78', section: '관광', rank: 28, keyword: '관광 버스', interest: 44, change: '-20%' },
  { id: '79', section: '관광', rank: 29, keyword: '인천 관광 공사', interest: 42, change: '-20%' },
  { id: '80', section: '관광', rank: 30, keyword: '관광 공사', interest: 40, change: '-20%' },
  { id: '81', section: '관광', rank: 31, keyword: '한국 관광 공사', interest: 38, change: '-30%' },
  { id: '82', section: '관광', rank: 32, keyword: '관광 진흥법', interest: 36, change: '-30%' },
  { id: '83', section: '관광', rank: 33, keyword: '한진 관광', interest: 34, change: '-60%' },
  { id: '84', section: '관광', rank: 34, keyword: '관광 지식 정보 시스템', interest: 32, change: '-60%' },
  { id: '85', section: '관광', rank: 35, keyword: '한국 관광 공사 채용', interest: 30, change: '-80%' },
  { id: '86', section: '관광', rank: 36, keyword: '스파 관광 파트 5', interest: 28, change: '-100%' },
  { id: '87', section: '축제', rank: 1, keyword: '고양 꽃 축제', interest: 98, change: 'Breakout' },
  { id: '88', section: '축제', rank: 2, keyword: '계촌 클래식 축제', interest: 96, change: 'Breakout' },
  { id: '89', section: '축제', rank: 3, keyword: '아이 칠린', interest: 94, change: 'Breakout' },
  { id: '90', section: '축제', rank: 4, keyword: '대한민국 구석 구석', interest: 92, change: 'Breakout' },
  { id: '91', section: '축제', rank: 5, keyword: '하동 북천 꽃 양귀비 축제', interest: 90, change: '2,350%' },
  { id: '92', section: '축제', rank: 6, keyword: '수원 연등 축제 2026', interest: 88, change: '750%' },
  { id: '93', section: '축제', rank: 7, keyword: '유림 공원 축제', interest: 86, change: '600%' },
  { id: '94', section: '축제', rank: 8, keyword: '수원 연등 축제', interest: 84, change: '550%' },
  { id: '95', section: '축제', rank: 9, keyword: '태화강 축제', interest: 82, change: '350%' },
  { id: '96', section: '축제', rank: 10, keyword: '유성 축제', interest: 80, change: '250%' },
  { id: '97', section: '축제', rank: 11, keyword: '유성 온천 축제', interest: 78, change: '250%' },
  { id: '98', section: '축제', rank: 12, keyword: '유성 온천 문화 축제', interest: 76, change: '250%' },
  { id: '99', section: '축제', rank: 13, keyword: '쇠 부리 축제', interest: 74, change: '200%' },
  { id: '100', section: '축제', rank: 14, keyword: '연등 축제', interest: 72, change: '200%' },
  { id: '101', section: '축제', rank: 15, keyword: '대전 유성 온천 축제', interest: 70, change: '180%' },
  { id: '102', section: '축제', rank: 16, keyword: '울산 쇠 부리 축제', interest: 68, change: '150%' },
  { id: '103', section: '축제', rank: 17, keyword: '익산 서동 축제', interest: 66, change: '150%' },
  { id: '104', section: '축제', rank: 18, keyword: '하이키', interest: 64, change: '130%' },
  { id: '105', section: '축제', rank: 19, keyword: '세계 도시 문화 축제', interest: 62, change: '120%' },
  { id: '106', section: '축제', rank: 20, keyword: '동성로 축제', interest: 60, change: '120%' },
  { id: '107', section: '축제', rank: 21, keyword: '태안 튤립 축제', interest: 58, change: '110%' },
  { id: '108', section: '축제', rank: 22, keyword: '싸이 대학 축제', interest: 56, change: '100%' },
  { id: '109', section: '축제', rank: 23, keyword: '중랑 장미 축제', interest: 54, change: '100%' },
  { id: '110', section: '축제', rank: 24, keyword: '태화강 연등 축제', interest: 52, change: '100%' },
  { id: '111', section: '축제', rank: 25, keyword: '울산 대공원 장미 축제', interest: 50, change: '100%' },
  { id: '112', section: '축제', rank: 26, keyword: '중랑천 장미 축제', interest: 48, change: '80%' },
  { id: '113', section: '축제', rank: 27, keyword: '낙화 축제', interest: 46, change: '80%' },
  { id: '114', section: '축제', rank: 28, keyword: '구리 유채 꽃 축제', interest: 44, change: '80%' },
  { id: '115', section: '축제', rank: 29, keyword: '대전 축제', interest: 42, change: '70%' },
  { id: '116', section: '축제', rank: 30, keyword: '유채 꽃 축제', interest: 40, change: '70%' },
  { id: '117', section: '축제', rank: 31, keyword: '부경대 축제', interest: 38, change: '70%' },
  { id: '118', section: '축제', rank: 32, keyword: '퀴어 축제', interest: 36, change: '70%' },
  { id: '119', section: '축제', rank: 33, keyword: '홍익대 축제', interest: 34, change: '70%' },
  { id: '120', section: '축제', rank: 34, keyword: '세종 낙화 축제', interest: 32, change: '70%' },
  { id: '121', section: '축제', rank: 35, keyword: '성주 참외 축제', interest: 30, change: '60%' },
  { id: '122', section: '축제', rank: 36, keyword: '서울 장미 축제', interest: 28, change: '60%' },
  { id: '123', section: '축제', rank: 37, keyword: '해운대 모래 축제', interest: 26, change: '60%' },
  { id: '124', section: '축제', rank: 38, keyword: '부산 연등 축제', interest: 24, change: '50%' },
  { id: '125', section: '축제', rank: 39, keyword: '울산 장미 축제', interest: 22, change: '50%' },
  { id: '126', section: '축제', rank: 40, keyword: '포항 공대 축제', interest: 20, change: '50%' },
  { id: '127', section: '축제', rank: 41, keyword: '전남대 축제', interest: 18, change: '50%' },
  { id: '128', section: '축제', rank: 42, keyword: '청주대 축제', interest: 16, change: '50%' },
  { id: '129', section: '축제', rank: 43, keyword: '전국 축제', interest: 14, change: '40%' },
  { id: '130', section: '축제', rank: 44, keyword: '부산 축제', interest: 12, change: '40%' },
  { id: '131', section: '축제', rank: 45, keyword: '삼척 장미 축제', interest: 10, change: '40%' },
  { id: '132', section: '축제', rank: 46, keyword: '작약 축제', interest: 10, change: '40%' },
  { id: '133', section: '축제', rank: 47, keyword: '밀양 아리랑 축제', interest: 10, change: '30%' },
  { id: '134', section: '축제', rank: 48, keyword: '잠수교 뚜벅 뚜벅 축제', interest: 10, change: '30%' },
  { id: '135', section: '축제', rank: 49, keyword: '부산대 축제', interest: 10, change: '30%' },
  { id: '136', section: '축제', rank: 50, keyword: '여주 도자기 축제', interest: 10, change: '30%' },
  { id: '137', section: '행사', rank: 1, keyword: '연 행사', interest: 98, change: 'Breakout' },
  { id: '138', section: '행사', rank: 2, keyword: '띵조 페스티벌', interest: 96, change: 'Breakout' },
  { id: '139', section: '행사', rank: 3, keyword: '코엑스 행사', interest: 94, change: '120%' },
  { id: '140', section: '행사', rank: 4, keyword: '어버이 날', interest: 92, change: '70%' },
  { id: '141', section: '행사', rank: 5, keyword: '지구의 날 행사', interest: 90, change: '70%' },
  { id: '142', section: '행사', rank: 6, keyword: '어버이 날 행사', interest: 88, change: '70%' },
  { id: '143', section: '행사', rank: 7, keyword: '서울 행사', interest: 86, change: '30%' },
  { id: '144', section: '행사', rank: 8, keyword: '버거 킹 행사', interest: 84, change: '20%' },
  { id: '145', section: '행사', rank: 9, keyword: '행사 포스터', interest: 82, change: '20%' },
  { id: '146', section: '행사', rank: 10, keyword: '벡스코 행사', interest: 80, change: '8%' },
  { id: '147', section: '행사', rank: 11, keyword: '5 월 행사', interest: 78, change: '3%' },
  { id: '148', section: '행사', rank: 12, keyword: '명조 2 주년', interest: 76, change: '2%' },
  { id: '149', section: '행사', rank: 13, keyword: '편의점 행사', interest: 74, change: '-40%' },
  { id: '150', section: '공연', rank: 1, keyword: '백상 축하 공연', interest: 98, change: 'Breakout' },
  { id: '151', section: '공연', rank: 2, keyword: '서울 숲 공연', interest: 96, change: 'Breakout' },
  { id: '152', section: '공연', rank: 3, keyword: '백상 예술 대상 2026', interest: 94, change: 'Breakout' },
  { id: '153', section: '공연', rank: 4, keyword: '백상 예술 대상', interest: 92, change: '550%' },
  { id: '154', section: '공연', rank: 5, keyword: '백상 예술 대상 공연', interest: 90, change: '500%' },
  { id: '155', section: '공연', rank: 6, keyword: '백상 예술 대상 축하 공연', interest: 88, change: '350%' },
  { id: '156', section: '공연', rank: 7, keyword: '무료 공연', interest: 86, change: '130%' },
  { id: '157', section: '공연', rank: 8, keyword: '난타 공연', interest: 84, change: '110%' },
  { id: '158', section: '공연', rank: 9, keyword: '공연 성', interest: 82, change: '10%' },
  { id: '159', section: '공연', rank: 10, keyword: 'bts 부산 공연', interest: 80, change: '9%' },
  { id: '160', section: '공연', rank: 11, keyword: '서울 공연 예술 고등학교', interest: 78, change: '-10%' },
  { id: '161', section: '공연', rank: 12, keyword: '인터파크', interest: 76, change: '-40%' },
  { id: '162', section: '공연', rank: 13, keyword: 'bts 공연 일정', interest: 74, change: '-40%' },
  { id: '163', section: '공연', rank: 14, keyword: '공연 안전 지원 센터', interest: 72, change: '-40%' },
  { id: '164', section: '공연', rank: 15, keyword: '내한 공연', interest: 70, change: '-40%' },
  { id: '165', section: '공연', rank: 16, keyword: 'bts 광화문 공연', interest: 68, change: '-60%' },
  { id: '166', section: '공연', rank: 17, keyword: '공연 봄날', interest: 66, change: '-60%' },
  { id: '167', section: '공연', rank: 18, keyword: '세상 을 바꾸는 여자들', interest: 64, change: '-60%' },
  { id: '168', section: '호텔', rank: 1, keyword: '스기노이 호텔', interest: 98, change: 'Breakout' },
  { id: '169', section: '호텔', rank: 2, keyword: '포시즌 스 호텔 서울', interest: 96, change: 'Breakout' },
  { id: '170', section: '호텔', rank: 3, keyword: 'visit japan web', interest: 94, change: 'Breakout' },
  { id: '171', section: '호텔', rank: 4, keyword: '에어 프레 미아', interest: 92, change: 'Breakout' },
  { id: '172', section: '호텔', rank: 5, keyword: '괴담 호텔 탈출기', interest: 90, change: 'Breakout' },
  { id: '173', section: '호텔', rank: 6, keyword: '에코 랜드 호텔', interest: 88, change: 'Breakout' },
  { id: '174', section: '호텔', rank: 7, keyword: '서귀포 칼 호텔', interest: 86, change: 'Breakout' },
  { id: '175', section: '호텔', rank: 8, keyword: '신라 호텔 팔선', interest: 84, change: '250%' },
  { id: '176', section: '호텔', rank: 9, keyword: '카카오 주식', interest: 82, change: '190%' },
  { id: '177', section: '호텔', rank: 10, keyword: '헤즈 빈 호텔', interest: 80, change: '160%' },
  { id: '178', section: '호텔', rank: 11, keyword: '파르 나스 호텔 제주', interest: 78, change: '160%' },
  { id: '179', section: '호텔', rank: 12, keyword: '더 링크 호텔', interest: 76, change: '150%' },
  { id: '180', section: '호텔', rank: 13, keyword: '제주 오리엔탈 호텔', interest: 74, change: '130%' },
  { id: '181', section: '호텔', rank: 14, keyword: '스카이 베이 호텔 경포', interest: 72, change: '120%' },
  { id: '182', section: '호텔', rank: 15, keyword: '호텔 예약 사이트', interest: 70, change: '120%' },
  { id: '183', section: '호텔', rank: 16, keyword: '더 리버 사이드 호텔', interest: 68, change: '120%' },
  { id: '184', section: '호텔', rank: 17, keyword: '더 케이 호텔', interest: 66, change: '100%' },
  { id: '185', section: '호텔', rank: 18, keyword: '한화 호텔 앤드 리조트', interest: 64, change: '100%' },
  { id: '186', section: '호텔', rank: 19, keyword: '경주 코오롱 호텔', interest: 62, change: '100%' },
  { id: '187', section: '호텔', rank: 20, keyword: '하카타 엑셀 호텔 도큐', interest: 60, change: '90%' },
  { id: '188', section: '호텔', rank: 21, keyword: '조선 호텔 김치', interest: 58, change: '90%' },
  { id: '189', section: '호텔', rank: 22, keyword: '정동진 썬 크루즈 호텔', interest: 56, change: '80%' },
  { id: '190', section: '호텔', rank: 23, keyword: '켄싱턴 호텔 설악', interest: 54, change: '70%' },
  { id: '191', section: '호텔', rank: 24, keyword: '엘리 에나 호텔', interest: 52, change: '70%' },
  { id: '192', section: '호텔', rank: 25, keyword: '롯데 시티 호텔', interest: 50, change: '70%' },
  { id: '193', section: '호텔', rank: 26, keyword: '5 성급 호텔', interest: 48, change: '60%' },
  { id: '194', section: '호텔', rank: 27, keyword: '더 케이 호텔 경주', interest: 46, change: '60%' },
  { id: '195', section: '호텔', rank: 28, keyword: '밀리 토피아 호텔', interest: 44, change: '50%' },
  { id: '196', section: '호텔', rank: 29, keyword: '롯데 호텔 서울', interest: 42, change: '50%' },
  { id: '197', section: '호텔', rank: 30, keyword: '에어 비앤비', interest: 40, change: '50%' },
  { id: '198', section: '호텔', rank: 31, keyword: '속초 호텔', interest: 38, change: '50%' },
  { id: '199', section: '호텔', rank: 32, keyword: '칸 데오 호텔 오사카 난바', interest: 36, change: '40%' },
  { id: '200', section: '호텔', rank: 33, keyword: '코리아나 호텔', interest: 34, change: '40%' },
  { id: '201', section: '호텔', rank: 34, keyword: '썬 크루즈 호텔', interest: 32, change: '40%' },
  { id: '202', section: '호텔', rank: 35, keyword: '나트랑 호텔', interest: 30, change: '40%' },
  { id: '203', section: '호텔', rank: 36, keyword: '삼정 호텔', interest: 28, change: '30%' },
  { id: '204', section: '호텔', rank: 37, keyword: '비짓 재팬', interest: 26, change: '30%' },
  { id: '205', section: '호텔', rank: 38, keyword: '경주 더 케이 호텔', interest: 24, change: '30%' },
  { id: '206', section: '호텔', rank: 39, keyword: '신라 호텔 망고 빙수', interest: 22, change: '30%' },
  { id: '207', section: '호텔', rank: 40, keyword: '우리 호텔 정상 영업 합니다', interest: 20, change: '30%' },
  { id: '208', section: '호텔', rank: 41, keyword: '리버 사이드 호텔', interest: 18, change: '30%' },
  { id: '209', section: '호텔', rank: 42, keyword: '콘래드 호텔', interest: 16, change: '30%' },
  { id: '210', section: '호텔', rank: 43, keyword: '포시즌 스 호텔', interest: 14, change: '30%' },
  { id: '211', section: '호텔', rank: 44, keyword: '포시즌 스', interest: 12, change: '20%' },
  { id: '212', section: '호텔', rank: 45, keyword: '켄싱턴 호텔', interest: 10, change: '20%' },
  { id: '213', section: '호텔', rank: 46, keyword: '광주 호텔', interest: 10, change: '20%' },
  { id: '214', section: '호텔', rank: 47, keyword: '안동 그랜드 호텔', interest: 10, change: '20%' },
  { id: '215', section: '호텔', rank: 48, keyword: '에어 비엔비', interest: 10, change: '20%' },
  { id: '216', section: '호텔', rank: 49, keyword: '서울 호텔', interest: 10, change: '20%' },
  { id: '217', section: '호텔', rank: 50, keyword: '여수 호텔', interest: 10, change: '20%' },
  { id: '218', section: '공항', rank: 1, keyword: '인천 국제 공항 주차장 예약', interest: 98, change: 'Breakout' },
  { id: '219', section: '공항', rank: 2, keyword: '샌프란시스코 공항', interest: 96, change: 'Breakout' },
  { id: '220', section: '공항', rank: 3, keyword: 'kac 공항 서비스 채용', interest: 94, change: 'Breakout' },
  { id: '221', section: '공항', rank: 4, keyword: '항공권 검색', interest: 92, change: 'Breakout' },
  { id: '222', section: '공항', rank: 5, keyword: '제주 항공 인천 공항 터미널 위치', interest: 90, change: '4,600%' },
  { id: '223', section: '공항', rank: 6, keyword: '클룩', interest: 88, change: '250%' },
  { id: '224', section: '공항', rank: 7, keyword: '공항 철도 가격', interest: 86, change: '250%' },
  { id: '225', section: '공항', rank: 8, keyword: '후쿠오카 공항 에서 하카타 역', interest: 84, change: '190%' },
  { id: '226', section: '공항', rank: 9, keyword: '에어 프레 미아 인천 공항 터미널', interest: 82, change: '180%' },
  { id: '227', section: '공항', rank: 10, keyword: 'kac 공항 서비스', interest: 80, change: '180%' },
  { id: '228', section: '공항', rank: 11, keyword: '제주 국제 공항', interest: 78, change: '160%' },
  { id: '229', section: '공항', rank: 12, keyword: '인천 공항 2 터미널 식당', interest: 76, change: '150%' },
  { id: '230', section: '공항', rank: 13, keyword: '나리타 공항 스카이 라이너', interest: 74, change: '140%' },
  { id: '231', section: '공항', rank: 14, keyword: '김해 공항 주차장 예약', interest: 72, change: '130%' },
  { id: '232', section: '공항', rank: 15, keyword: '에어 서울 인천 공항 터미널', interest: 70, change: '120%' },
  { id: '233', section: '공항', rank: 16, keyword: '청주 국제 공항', interest: 68, change: '120%' },
  { id: '234', section: '공항', rank: 17, keyword: '신 치토세 공항', interest: 66, change: '110%' },
  { id: '235', section: '공항', rank: 18, keyword: '김포 공항 제주도', interest: 64, change: '110%' },
  { id: '236', section: '공항', rank: 19, keyword: '비짓 재팬', interest: 62, change: '80%' },
  { id: '237', section: '공항', rank: 20, keyword: '버스 타고', interest: 60, change: '80%' },
  { id: '238', section: '공항', rank: 21, keyword: '김포 공항 면세점', interest: 58, change: '80%' },
  { id: '239', section: '공항', rank: 22, keyword: '인천 공항 제 2 터미널', interest: 56, change: '80%' },
  { id: '240', section: '공항', rank: 23, keyword: '인천 공항 주차장 요금', interest: 54, change: '80%' },
  { id: '241', section: '공항', rank: 24, keyword: '김포 공항 주차 예약', interest: 52, change: '70%' },
  { id: '242', section: '공항', rank: 25, keyword: '제주 항공 인천 공항 터미널', interest: 50, change: '70%' },
  { id: '243', section: '공항', rank: 26, keyword: '제주 공항 면세점', interest: 48, change: '70%' },
  { id: '244', section: '공항', rank: 27, keyword: '김해 공항 주차장', interest: 46, change: '70%' },
  { id: '245', section: '공항', rank: 28, keyword: '인천 공항 다이 소', interest: 44, change: '70%' },
  { id: '246', section: '공항', rank: 29, keyword: '오카야마 공항', interest: 42, change: '60%' },
  { id: '247', section: '공항', rank: 30, keyword: '에어 부산', interest: 40, change: '60%' },
  { id: '248', section: '공항', rank: 31, keyword: '광주 공항', interest: 38, change: '60%' },
  { id: '249', section: '공항', rank: 32, keyword: '김포 공항 롯데 시네마', interest: 36, change: '60%' },
  { id: '250', section: '공항', rank: 33, keyword: '군산 공항', interest: 34, change: '60%' },
  { id: '251', section: '공항', rank: 34, keyword: '인천 공항 리무진', interest: 32, change: '50%' },
  { id: '252', section: '공항', rank: 35, keyword: '김포 공항 공항 버스', interest: 30, change: '50%' },
  { id: '253', section: '공항', rank: 36, keyword: '공항 도둑', interest: 28, change: '50%' },
  { id: '254', section: '공항', rank: 37, keyword: '울릉 공항', interest: 26, change: '50%' },
  { id: '255', section: '공항', rank: 38, keyword: '인천 공항 철도 시간표', interest: 24, change: '50%' },
  { id: '256', section: '공항', rank: 39, keyword: '대구 국제 공항', interest: 22, change: '50%' },
  { id: '257', section: '공항', rank: 40, keyword: '고마쓰 공항', interest: 20, change: '50%' },
  { id: '258', section: '공항', rank: 41, keyword: '에어로 케이', interest: 18, change: '40%' },
  { id: '259', section: '공항', rank: 42, keyword: '대구 공항', interest: 16, change: '40%' },
  { id: '260', section: '공항', rank: 43, keyword: '하나 투어', interest: 14, change: '40%' },
  { id: '261', section: '공항', rank: 44, keyword: '에어 서울', interest: 12, change: '40%' },
  { id: '262', section: '공항', rank: 45, keyword: '이스타 항공', interest: 10, change: '40%' },
  { id: '263', section: '공항', rank: 46, keyword: '김해 공항 면세점', interest: 10, change: '40%' },
  { id: '264', section: '공항', rank: 47, keyword: '다카마쓰 공항', interest: 10, change: '40%' },
  { id: '265', section: '공항', rank: 48, keyword: '인천 공항 면세점', interest: 10, change: '40%' },
  { id: '266', section: '공항', rank: 49, keyword: '스마트 패스 인천 공항', interest: 10, change: '40%' },
  { id: '267', section: '공항', rank: 50, keyword: '원주 공항', interest: 10, change: '40%' },
  { id: '268', section: '맛집', rank: 1, keyword: '안국역 맛집', interest: 98, change: 'Breakout' },
  { id: '269', section: '맛집', rank: 2, keyword: '종로 3 가 맛집', interest: 96, change: 'Breakout' },
  { id: '270', section: '맛집', rank: 3, keyword: '샤브 올 데이', interest: 94, change: 'Breakout' },
  { id: '271', section: '맛집', rank: 4, keyword: '진천 맛집', interest: 92, change: 'Breakout' },
  { id: '272', section: '맛집', rank: 5, keyword: '전북대 맛집', interest: 90, change: 'Breakout' },
  { id: '273', section: '맛집', rank: 6, keyword: '부산대 맛집', interest: 88, change: 'Breakout' },
  { id: '274', section: '맛집', rank: 7, keyword: '고터 맛집', interest: 86, change: 'Breakout' },
  { id: '275', section: '맛집', rank: 8, keyword: '인덕원 맛집', interest: 84, change: 'Breakout' },
  { id: '276', section: '맛집', rank: 9, keyword: '더 현대 서울 맛집', interest: 82, change: 'Breakout' },
  { id: '277', section: '맛집', rank: 10, keyword: '홍성 맛집', interest: 80, change: 'Breakout' },
  { id: '278', section: '맛집', rank: 11, keyword: '아주대 맛집', interest: 78, change: 'Breakout' },
  { id: '279', section: '맛집', rank: 12, keyword: '텍사스 바베큐 맛집', interest: 76, change: 'Breakout' },
  { id: '280', section: '맛집', rank: 13, keyword: '진해 맛집', interest: 74, change: '300%' },
  { id: '281', section: '맛집', rank: 14, keyword: '송정 맛집', interest: 72, change: '250%' },
  { id: '282', section: '맛집', rank: 15, keyword: '동성로 맛집', interest: 70, change: '250%' },
  { id: '283', section: '맛집', rank: 16, keyword: '백운호 수 맛집', interest: 68, change: '200%' },
